,sentence,triples
90,"film is a 1965 short film written by samuel beckett, his only screenplay.","('film', 'is', 'short samuel beckett')"
91,a second draft was produced by 22 may and a 40-leaf shooting script followed thereafter.,"('second  draft', 'produced by', '22  may')"
92,both beckett and the director alan schneider were interested in zero mostel and jack macgowran.,"('beckett', 'were interested', 'zero director alan mostel')"
93,beckett then suggested buster keaton.,"('beckett', 'suggested', 'then buster keaton')"
94,this being his only visit to the united states.,"('this', 'being', 'only united states')"
95,david rayner clark directed max wall.,"('david rayner clark', 'directed', 'max wall')"
96,"suddenly, the camera  shifts violently to the left.","('', 'camera', 'violently  left')"
97,the couple look at each other and the man,"('couple', 'look at', 'other')"
98,the camera cuts to the vestibule.,"('camera', 'cuts to', 'vestibule')"
99,the camera gives us a brief close-up.,"('camera', 'gives', 'brief close up')"
100,she descends slowly and with fumbling feet.,"('she', 'descends', 'fumbling  feet')"
101,she closes her eyes and collapses.,"('she', 'closes', 'eyes')"
102,his coat tails are seen flying up the stairs.,"('coat tails', 'seen', 'stairs')"
103,"although stated simply, the mechanics needed to execute these tasks are laborious .","('simply  mechanics', 'needed', 'tasks')"
104,he ignores them and sits.,"('he', 'ignores', 'them')"
105,he still has the eye patch.,"('he', 'has', 'still eye patch')"
106,"he half starts from the chair, then stiffens.","('he', 'starts from', 'half  chair')"
107,“esse est percipi aut percipere” .,"('esse est percipi', 'aut', '')"
108,but he can't get away from himself.,"('he', 'get', 'away  himself')"
109,"but e is also self, not merely o’s self but the self of any person or people,","('e', 'is', 'merely  person')"
110,"e is, so to speak, o's blind eye.","('e', 'is', '')"
111,beckett's script has been interpreted in various ways.,"('script', 'interpreted in various', 'various  ways')"
112,the viewers are being asked to consider the work structurally and dramatically rather than emotionally or philosophically.,"('viewers', 'asked', 'work')"
113,"however, for this particular project, beckett became personally involved.","('particular  beckett', 'became', 'particular  project')"
114,"four directors worked on the series: chris columbus, alfonso cuarón, mike newell, and david yates.","('four  directors', 'worked on', 'series')"
115,"he went out and bought the book, becoming an instant fan.","('he', 'went', 'book')"
116,david heyman was confirmed to produce the film.,"('david heyman', 'confirmed', 'film')"
117,their only previous acting experience was in school plays.,"('acting  experience', 'was in', 'school plays')"
118,barron was later appointed producer on the last four films.,"('barron', 'appointed', 'four  films')"
119,other executive producers include tanya seghatchian and lionel wigram.,"('executive  producers', 'include', 'seghatchian  wigram')"
120,but he expressed real passion.,"('he', 'expressed real', 'real  passion')"
121,all the directors have been supportive of each other.,"('directors', 'been supportive', 'other')"
122,the production designer for all eight films is stuart craig.,"('production designer', 'is', 'eight  films')"
123,"the  definitely wasn't there originally, and so we were able to add that substantial piece.","('so  we', 'was', 'substantial  piece')"
124,the harry potter series has had four composers.,"('harry potter series', 'had', 'four  composers')"
125,desplat returned to score harry potter and the deathly hallows,"('desplat', 'returned', 'harry potter')"
126,– part 2 in 2011.,"('', 'part', '2  2011')"
127,they came up trumps.,"('they', 'came', 'trumps')"
128,as the director shouts cut for the very last time.,"('director', 'cut for', 'last  time')"
129,harry potter is an orphaned boy brought up by his unkind muggle  aunt and uncle.,"('harry potter', 'is', 'unkind  muggle')"
130,"however, part 2 was released in 2d and 3d cinemas as originally planned.","('however  part', 'released in', '2d  cinemas')"
131,"by january 2017, johns and berg reported to emmerich.","('2017  johns', 'reported', 'january')"
132,"principal photography began on august 1, 2011.","('principal  photography', 'began on', 'august')"
133,", with david ayer confirmed as director.","('david ayer', 'confirmed as', 'director')"
134,affleck as bruce wayne / batman and miller as barry allen,"('', 'affleck as', 'bruce wayne barry allen')"
135,"justice league was released worldwide on november 17, 2017.","('justice league', 'released', 'worldwide  november')"
136,aquaman was announced in october.,"('aquaman', 'announced in', 'october')"
137,pre-production began in august.,"('production', 'began in', 'august')"
138,the villain mister mind is introduced in a mid-credits scene.,"('villain mister mind', 'introduced in', 'credits  scene')"
139,"that same month, the sequel was officially announced at san diego comic-con.","('month  sequel', 'announced at', 'officially diego comic con')"
140,pre-production had begun by early december 2017.,"('production', 'begun by early', 'early  december')"
141,"that same month, pedro pascal was also cast in a key role.","('month pedro pascal', 'cast in', 'key  role')"
142,other filming locations include the warner bros.,"('other filming locations', 'include', 'warner bros')"
143,"wonder woman 1984 is scheduled to be released on june 5, 2020.","('wonder woman', 'scheduled', '1984  june')"
144,"the initial script was drafted by berlanti, geoff johns, chris brancato, michael green and marc guggenheim.","('initial  script', 'drafted by', 'berlanti')"
145,dan mazeau was brought on as co-writer.,"('dan mazeau', 'brought', 'writer')"
146,"in march 2018, john francis daley and jonathan goldstein were hired to co-direct.","('2018 john francis daley', 'hired', 'march')"
147,miller revealed that the plot will involve the speed force multiverse.,"('plot', 'revealed', 'speed force multiverse')"
148,pre-production is scheduled to begin by january 2020.,"('production', 'scheduled', 'january')"
149,the flash is expected to be released sometime in 2021.,"('flash', 'expected', 'sometime  2021')"
150,"through emmerich and producer peter safran, who were receptive.","('producer peter who', 'through', 'emmerich')"
151,pre-production is expected to begin in 2020.,"('production', 'expected', '2020')"
152,"aquaman 2 is scheduled to be released on december 16, 2022.","('aquaman', 'scheduled', '2  december')"
153,suicide squad occurred shortly after batman v superman.,"('suicide squad', 'occurred', 'batman  superman')"
154,"by january 2017, johns and berg reported to emmerich.","('2017  johns', 'reported', 'january')"
155,"principal photography began on august 1, 2011.","('principal  photography', 'began on', 'august')"
156,", with david ayer confirmed as director.","('david ayer', 'confirmed as', 'director')"
157,affleck as bruce wayne / batman and miller as barry allen,"('', 'affleck as', 'bruce wayne barry allen')"
158,"justice league was released worldwide on november 17, 2017.","('justice league', 'released', 'worldwide  november')"
159,aquaman was announced in october.,"('aquaman', 'announced in', 'october')"
160,pre-production began in august.,"('production', 'began in', 'august')"
161,the villain mister mind is introduced in a mid-credits scene.,"('villain mister mind', 'introduced in', 'credits  scene')"
162,"that same month, the sequel was officially announced at san diego comic-con.","('month  sequel', 'announced at', 'officially diego comic con')"
163,pre-production had begun by early december 2017.,"('production', 'begun by early', 'early  december')"
164,"that same month, pedro pascal was also cast in a key role.","('month pedro pascal', 'cast in', 'key  role')"
165,other filming locations include the warner bros.,"('other filming locations', 'include', 'warner bros')"
166,"wonder woman 1984 is scheduled to be released on june 5, 2020.","('wonder woman', 'scheduled', '1984  june')"
167,"the initial script was drafted by berlanti, geoff johns, chris brancato, michael green and marc guggenheim.","('initial  script', 'drafted by', 'berlanti')"
168,dan mazeau was brought on as co-writer.,"('dan mazeau', 'brought', 'writer')"
169,"in march 2018, john francis daley and jonathan goldstein were hired to co-direct.","('2018 john francis daley', 'hired', 'march')"
170,miller revealed that the plot will involve the speed force multiverse.,"('plot', 'revealed', 'speed force multiverse')"
171,pre-production is scheduled to begin by january 2020.,"('production', 'scheduled', 'january')"
172,the flash is expected to be released sometime in 2021.,"('flash', 'expected', 'sometime  2021')"
173,"through emmerich and producer peter safran, who were receptive.","('producer peter who', 'through', 'emmerich')"
174,pre-production is expected to begin in 2020.,"('production', 'expected', '2020')"
175,"aquaman 2 is scheduled to be released on december 16, 2022.","('aquaman', 'scheduled', '2  december')"
176,suicide squad occurred shortly after batman v superman.,"('suicide squad', 'occurred', 'batman  superman')"
177,jim reacts angrily but freddie apologises and the two chat and share a kiss.,"('', 'reacts', 'two jim kiss')"
178,they agree and are given a last-minute slot.,"('they', 'agree', 'last minute slot')"
179,may confirmed in april 2011 that the production was moving forward.,"('2011  production', 'confirmed in', 'april')"
180,whishaw left the project seven months later.,"('whishaw', 'left', 'project')"
181,i never ceased to be astonished by this man.,"('i', 'ceased', 'man')"
182,discussions began about replacing him.,"('discussions', 'began about', 'him')"
183,fletcher received an executive producer credit.,"('fletcher', 'received', 'executive producer credit')"
184,a vinyl release followed on 8 february 2019.,"('vinyl release', 'followed on', '8  february')"
185,; with a digital version released 22 january.,"('digital  version', 'released', '22  january')"
186,"instead, it's simply referred to as a life-threatening illness.","('instead  it', 'referred to', 'threatening  illness')"
187,"it is fox's fourth highest-grossing film, and their fifth highest outside of north america.","('it', 'is', 'fifth north america')"
188,"new markets included france , mexico , germany  and australia .","('new  markets', 'included', 'france')"
189,it is the most successful musical film ever released in south korea.,"('it', 'is', 'ever south korea')"
190,they jumped to conclusions.,"('they', 'jumped to', 'conclusions')"
191,"horror may also overlap with the fantasy, supernatural fiction, and thriller genres.","('horror', 'overlap with', 'also  fantasy')"
192,"prevalent elements include ghosts, extraterrestrials, vampires, werewolves, demons, satanism, evil clowns, gore, torture, vicious animals, evil witches, monsters, giant monsters, zombies, cannibalism, psychopaths, natural, ecological or man-made disasters, and serial killers.","('prevalent  elements', 'include', 'ghosts')"
193,it is the filmmaker's third film adaptation of the faust legend.,"('it', 'is', 'faust film legend')"
194,this was the birth of trick films.,"('this', 'was', 'trick films')"
195,trick films were silent films designed to feature innovative special effects.,"('trick films', 'were silent', 'special  effects')"
196,"l'inferno was directed by three artists; francesco bertolini, adolfo padovan, and giuseppe de liguoro.","(""l'inferno"", 'directed by', 'three  artists')"
197,the series is also a close cousin to the surrealist movement.,"('series', 'is', 'close surrealist movement')"
198,"the film is split into five stories: the apparition, the hand, the black cat , the suicide club  and der spuk .","('film', 'split into', 'five  stories')"
199,it is also a leading example of early german expressionism.,"('it', 'is', 'german  expressionism')"
200,"f. w. murnau arguably made the first vampire-themed movie, nosferatu .","('f. w. murnau', 'made', 'themed  movie')"
201,it was an unauthorized adaptation of bram stoker's gothic horror novel dracula.,"('it', 'was', 'gothic horror novel dracula')"
202,this helped popularized the expressionism style in filmmaking.,"('this', 'popularized', 'expressionism style')"
203,they would become the leading innovators of the german expressionist movement.,"('they', 'become', 'expressionist  movement')"
204,his exaggerated smile was the inspiration for dc comics' the joker. .,"('exaggerated  smile', 'was', 'dc joker')"
205,the film was poorly received by audiences and critics.,"('film', 'received by', 'poorly  audiences')"
206,"this extraordinarily rich and innovative silent classic  is a dickensian ghost story and a deeply moving morality tale, as well as a showcase for groundbreaking special effects.","('silent  classic', 'is', 'special morality effects')"
207,"it was a sound remake of the studio's earlier film, the cat and the canary from three years ago.","('it', 'was', 'earlier  film')"
208,the film was generally well received by critics.,"('film', 'received by', 'well  critics')"
209,frankenstein's assistant accidentally gives the creature a murderer's abnormal brain.,"('assistant', 'gives', 'abnormal  brain')"
210,the first one is murders in the rue morgue.,"('first  one', 'is', 'rue morgue')"
211,it's a mystery horror story starring boris karloff.,"('it', ""'s"", 'boris karloff')"
212,the first one was in july.,"('first  one', 'was in', 'july')"
213,it was a murder-mystery film called the secret of the blue room.,"('it', 'was', 'blue mystery room')"
214,it stars both boris karloff and bela lugosi.,"('it', 'stars', 'boris karloff')"
215,it was the first of six movies,"('it', 'was', 'six  movies')"
216,universal pictures paired the two iconic actors together.,"('universal  pictures', 'paired', 'iconic  actors')"
217,peter ruric  wrote the screenplay.,"('peter ruric', 'wrote', 'screenplay')"
218,the science-fiction/horror film was the first sequel to the 1931 hit frankenstein.,"('fiction horror film', 'was', 'hit  frankenstein')"
219,actress elsa lanchester portrayed the monster's bride.,"('actress elsa lanchester', 'portrayed', 'bride')"
220,"he continued by writing,","('he', 'continued by', 'writing')"
221,these radiation effects also begin to slowly drive him mad.,"('radiation effects', 'begin', 'slowly  him')"
222,the film was called dracula's daughter and stars gloria holden in the title role.,"('stars gloria', 'called', 'title role')"
223,"in the intervening decades, criticism has been deeply divided.","('intervening  criticism', 'divided', 'intervening  decades')"
224,"the film was night key, a science fiction crime thriller starring boris karloff.","('film', 'was', 'boris karloff')"
225,the phantom creeps was universal pictures' 112th serial and 44th to have sound.,"('phantom  creeps', 'was universal', '112th  sound')"
226,other studios followed universal's lead.,"('other  studios', 'followed', 'lead')"
227,"through this way, the audience's fright factor is enhanced.","('fright  factor', 'enhanced', 'way')"
228,film director and producer william castle is considered the king of the film gimmick.,"('film director', 'considered', 'film gimmick')"
229,the 1950s is also well known for creature feature or giant monster movies.,"('1950s', 'is', 'well creature feature')"
230,the fly is a 1958 american science fiction-horror film starring vincent price.,"('fly', 'is', '1958 vincent price')"
231,the film has become a cult classic and is often referenced in popular culture.,"('film', 'become', 'popular cult culture')"
232,"the phrase twilight zone, is used today to describe surreal experiences.","('phrase twilight zone', 'used', 'surreal  experiences')"
233,the 1970s was an era dominated by american horror films.,"('1970s', 'was', 'american horror films')"
234,"don't look now , a independent british-italian film directed by nicolas roeg, was also notable.","('', 'was', 'italian nicolas roeg')"
235,murder and violence were no longer the main themes of horror films.,"('murder', 'were', 'main horror films')"
236,poltergeist is ranked the 20th scariest movie ever made by the chicago film critics association.,"('poltergeist', 'ranked', 'ever film critics association')"
237,the changeling is a 1980 canadian supernatural psychological horror film directed by peter medak.,"('changeling', 'is', 'psychological peter medak')"
238,its influence and inspiration can still be seen in films today.,"('influence', 'seen in', 'still  films')"
239,my bloody valentine  is a slasher film dealing with valentine's day fiction.,"('bloody  valentine', 'is', 'day fiction')"
240,"in the philippines, the first shake, rattle & roll  was released.","('first  shake', 'released', 'philippines')"
241,"several science fiction action horror movies were released in the 1980s, notably aliens  and predator .","('several action horror movies', 'released in', '1980s')"
242,"is a dark fantasy horror film, which is the directorial debut of special effects artist stan winston.","('dark fantasy horror which', 'is', 'special artist stan winston')"
243,event horizon  is a british-american science fiction horror film directed by paul,"('event horizon', 'is', 'american fiction horror paul')"
244,monster horror was quite popular in the 1990s.,"('monster horror', 'was', 'quite  1990s')"
245,"tremors  is
the first installment of the tremors franchise.","('tremors', 'is', 'first tremors franchise')"
246,"by contrast, valentine  was a conventional horror film.","('valentine', 'was', 'contrast')"
247,"the others  was hugely successful, winning and being further nominated for many awards.","('others', 'was', 'many  awards')"
248,"it was written, directed, and scored by alejandro amenábar.","('it', 'written', 'alejandro amenábar')"
249,"comic book adaptations like the blade series, constantine , and hellboy  also became box office successes.","('comic book adaptations', 'became', 'blade series')"
250,some pronounced trends have marked horror films.,"('pronounced  trends', 'marked', 'horror films')"
251,films from non-english language countries have become successful.,"('films', 'become successful', 'english language countries')"
252,"another notable film is the orphanage , a spanish horror film and the debut feature of spanish filmmaker","('notable  film', 'is', 'spanish debut filmmaker')"
253,cold prey is a 2006 norwegian slasher film directed by roar uthaug.,"('cold  prey', 'is', 'norwegian roar uthaug')"
254,the others  proved to be a successful example of a psychological horror film.,"('others', 'proved', 'psychological horror film')"
255,the latter film spawned a sequel: 28 weeks later .,"('latter  film', 'spawned', 'sequel')"
256,prometheus  and alien: covenant  address extraterrestrial themes.,"('', 'prometheus', '')"
257,verónica is a 2017 spanish horror film loosely based on real events.,"('verónica', 'is', 'real horror events')"
258,"a sequel, happy death day 2u, was released in february 2019.","('sequel', 'released in', 'happy death february')"
259,themes or elements often prevalent in typical action-horror films,"('themes', 'prevalent in typical', 'typical horror films')"
260,this category also fuses the fantasy genre.,"('category', 'fuses', 'also fantasy genre')"
261,holiday horror depicts horror events which are set during a holiday or holiday season.,"('horror which', 'depicts', 'holiday')"
262,"it is set during christmas, halloween, valentine's day, april fools' day, or thanksgiving.","('it', 'set during', 'christmas')"
263,"examples include: silent night, deadly night, black christmas, halloween, my bloody valentine, home sweet home, april fool's day, valentine, trick 'r treat, krampus, and all through the house.","('examples', 'include', 'all april house')"
264,"examples include: frankenstein, species, mimic, alien, the fly, the thing, the blob, apollo 18, event horizon, and resident evil.","('examples', 'include', 'frankenstein')"
265,"common themes include vengeful ghosts, witches, the devil, and demonic possession.","('common  themes', 'include vengeful', 'vengeful  ghosts')"
266,"examples include: the ring, the grudge, the amityville horror, it, the omen, the exorcist, paranormal activity, poltergeist, the blair witch project, the conjuring, hereditary, sinister, and suspiria.","('examples', 'include', 'ring')"
267,this genre may sometimes overlap with the science fiction and action and adventure genres.,"('genre', 'overlap with', 'sometimes science fiction')"
268,"examples include: the birds, jaws, piranha, bats, lake placid, rogue, alligator, black water, and","('examples', 'include', 'birds')"
269,it was most popular in 1964 and 1965.,"('it', 'was', 'most  1964')"
270,"examples include unfriended, friend request, and the den.","('examples', 'include unfriended', 'unfriended friend request')"
271,one of the most noticeable side effects is sleeplessness.,"('one', 'is sleeplessness', 'noticeable side effects')"
272,many early horror films created great social and legal controversy.,"('early horror films', 'created great', 'social  controversy')"
273,"however, horror movies do not always present positive endings.","('however horror movies', 'present positive', 'positive  endings')"
274,"also, satirical comedy-drama & the plot is often concerned with an illicit love affair or some other scandal.","('satirical comedy drama', 'concerned with', 'illicit love affair')"
275,others include duck soup  and national lampoon's animal house .,"('others', 'include', 'duck soup')"
276,"such films are sometimes known as splatstick, a portmanteau of the words splatter and slapstick.","('such  films', 'known as splatstick', 'sometimes words splatter')"
277,"military and service comedies include good morning, vietnam, m*a*s*h, forrest gump, and more.","('military  comedies', 'include good', 'good  morning')"
278,"a film is a thin layer of coating, skin.","('film', 'is', 'thin  coating')"
279,today it has become the first international platform for film commerce.,"('today  it', 'become', 'international film commerce')"
280,it should be a simple meeting between friends.,"('it', 'be', 'simple  friends')"
281,the 1968 festival was halted on 19 may.,"('1968  festival', 'halted on', '19  may')"
282,in 2007 thierry frémaux became general delegate.,"('thierry frémaux', 'became general', '2007')"
283,the festival has become an important showcase for european films.,"('festival', 'become', 'european  films')"
284,jill forbes and sarah street argue in european cinema:,"('', 'forbes', 'european sarah street cinema')"
285,"however, the curse of the black pearl became both a critical and commercial success.","('however  curse', 'became', 'black  pearl')"
286,the second film was also the first disney theatrical feature film with the computer-generated walt disney pictures logo.,"('second  film', 'was', 'generated disney pictures logo')"
287,village roadshow studios and port douglas were officially confirmed as filming locations.,"('village roadshow village studios', 'confirmed as', 'filming port locations')"
288,"suddenly, the market became flooded with musicals, revues, and operettas.","('suddenly  market', 'flooded with', 'musicals')"
289,many comedies  included their own musical numbers.,"('many  comedies', 'included', 'musical  numbers')"
290,"however, the sequel grease 2  bombed at the box-office.","('however sequel grease', 'bombed at', '2 box office')"
291,chicago was also the first musical since oliver!,"('chicago', 'was', 'first  oliver')"
292,"original ones included across the universe , moulin rouge! , idlewild  and yesterday .","('original  ones', 'included across', 'universe')"
293,"other animated musical films include rio, trolls, sing, smallfoot and uglydolls.
","('musical  films', 'include', 'rio')"
294,"the first indian sound film, ardeshir irani's alam ara , was a major commercial success.","('indian sound film', 'was', '')"
295,"however, colour did not become a popular feature until the late 1950s.","('however  colour', 'become', 'late  1950s')"
296,"le jayenge , raja hindustani , dil to pagal hai , pyaar to hona","('', 'jayenge', 'raja hona')"
297,"since the 1990s, the three biggest bollywood movie stars have been the three khans: aamir khan, shah rukh khan, and salman khan.","('biggest bollywood movie stars', 'been', '1990s')"
298,juvenile stars appear and top the box-office.,"('juvenile  stars', 'appear', 'box office')"
299,"the american films greatly impacted aleksandrov, particularly the musicals.","('american  films', 'impacted', 'greatly  aleksandrov')"
300,the first successful blend of a social message and entertainment was aleksandrov's circus .,"('successful  blend', 'was', 'social  message')"
301,another of aleksandrov's more-popular films was the bright path .,"('another', 'was', 'popular  films')"
302,the music was limited to orlova's singing.,"('music', 'limited to', 'singing')"
303,"here, work provided the spectacle.","('here  work', 'provided', 'spectacle')"
304,the other director of musical films was ivan pyryev.,"('other  director', 'was', 'musical  films')"
305,"all starred his wife, marina ladynina.","('all', 'starred', 'wife')"
306,it is the most unusual of its type.,"('it', 'is', 'most  type')"
307,short was an abbreviation for either term.,"('short', 'was', 'term')"
308,"they are usually funded by film grants, nonprofit organizations, sponsor, or personal funds.","('they', 'funded by', 'usually film grants')"
309,it was made for individual viewing only.,"('individual', 'made for individual', 'viewing')"
310,griffith's the birth of a nation.,"('griffith', ""'s"", 'nation')"
311,"short comedies were especially popular, and typically came in a serial or series .","('short  comedies', 'were', 'typically  serial')"
312,animated cartoons came principally as short subjects.,"('animated  cartoons', 'came', 'short  subjects')"
313,"short films had become a medium for student, independent and specialty work.","('short  films', 'become', 'independent  work')"
314,"despite being popular, they also declined in this period.","('they', 'declined in', 'also  period')"
315,a few animated shorts continue within mainstream commercial distribution.,"('animated  shorts', 'continue within mainstream', 'commercial  distribution')"
316,shortstv was the first television channel dedicated to short films.,"('shortstv', 'was', 'short television films')"
317,such movies can also be distributed via the internet.,"('such  movies', 'distributed via', 'also  internet')"
