,sentence,triples
23,What type of procedure might be used to destroy the tumor with the x rays and at the same time avoid destroying the healthy tissue?,"('type', 'used', 'healthy x tissue')"
24,The faculty in the Political Science department have strenuously and successfully pursuedresearch grants to allow them to conduct their research.,"('strenuously Political Science them', 'pursuedresearch', 'research')"
25,"As a result, this departmenthas more money for the pursuit of research than any other department at the University.","('this', 'departmenthas more', 'other  University')"
26,This funding has allowed the faculty to hire research assistants for all of the faculty members.,"('faculty', 'allowed', 'faculty members')"
27,"Because every faculty member has a research assistant, the faculty have had enoughtime to maintain high level research careers without sacrificing the quality of their teaching.","('research faculty', 'had enoughtime', 'high level research teaching')"
28,The Political Science department at Fallsburg is one of the largest departments at theUniversity.,"('Political Science department', 'is', 'largest  theUniversity')"
29,The undergraduate students have consistently rated the faculty in this departmentas the best teachers on campus.,"('undergraduate  students', 'rated', 'best  campus')"
30,Their reputation as fine teachers has spread throughoutthe campus so that almost every student wants to take at least one Political Sciencecourse during their studies.,"('every throughoutthe student', 'spread', 'Political  studies')"
31,This popularity has caused most of the Political Sciencecourses to be oversubscribed.,"('most', 'caused most', 'Political  Sciencecourses')"
32,Students must often wait over a year to get into the course oftheir choice.,"('Students', 'wait over', 'course oftheir course choice')"
33,Conor is beside Paul.,"('Conor', 'is beside', 'Paul')"
34,Conor fears Paul.,"('Conor', 'fears', 'Paul')"
35,Mark motivates Ronan.,"('Mark', 'motivates', 'Ronan')"
36,Mark is beside Ronan.,"('Mark', 'is beside', 'Ronan')"
37,Joe motivates Steven.,"('Joe', 'motivates', 'Steven')"
38,Woodstock had built a nest on top of Snoopy doghouse.,"('Woodstock', 'built', 'Snoopy  doghouse')"
39,She had put her eggs in it and was waiting for them to hatch and the baby birds to come out.,"('baby birds', 'put', 'it')"
40,But Snoopy was unhappy about all this.,"('Snoopy', 'was unhappy', 'this')"
41,The nest was in the way when he tried to lie down.,"('when  he', 'was in', 'way')"
42,"And Snoopy was afraid that when the baby birds arrived, they would make so much noise with their chirping that he wouldn't be able to sleep at all!","('much  he', 'was afraid', 'much  chirping')"
43,"	Woodstock didn't want to get Snoopy upset, and so she agreed that the eggs would have to be moved.","('eggs', 'want', '')"
44,So she built a new nest in a tree a little ways from Snoopy house.,"('So  she', 'built', 'ways Snoopy house')"
45,"But now there was one prob lem, and a very serious one.","('', 'was', '')"
46,How would they move the eggs safely from Snoopy rooftop to the new nest in the tree?,"('How  they', 'move', 'new  tree')"
47,Snoopy and Woodstock were both afraid that the eggs would get broken if they tried to carry them down from the roof and up the tree.,"('they', 'were', 'tree')"
48,They both thought and thought.,"('They', 'thought', '')"
49,Then Snoopy had a great idea.,"('Then  Snoopy', 'had', 'great  idea')"
50,"While Woodstock hovered in the air watching, Snoopy took a blanket and rolled it up.","('air Snoopy', 'took', 'it')"
51,Then he tossed it across so that it hooked on a branch of the tree.,"('it', 'tossed', 'tree')"
52,The rolled blanket stretched right across to the new nest.,"('rolled  blanket', 'stretched', 'new  nest')"
53,Then Snoopy carefully rolled the eggs one by one through the rolled blan ket into the nest in the tree.,"('Then  Snoopy', 'rolled', 'rolled blan tree')"
54,All the eggs were soon moved safely.,"('eggs', 'moved', '')"
55,"Woodstock liked her new tree nest, and Snoopy was finally able to sleep comfortably again on his rooftop.","('new tree Snoopy', 'liked', 'again  rooftop')"
56,"Cord ProblemSuppose you are in a room, where two cords are hung from the ceiling.","('two  cords', 'are in', 'ceiling')"
57,"The two cords are of such a length that when you hold one cord in either hand, you cannot reach the other.","('one  you', 'are of', 'other')"
58,Your task is to tie the ends of these cords together.,"('task', 'is', 'cords')"
59,"To help you in this task, you may use any of the objects listed below, which are also in this room: poles, clamps, pliers, extension cords, tables, chairs.","('below  which', 'use', 'also  room')"
60,An engineer plans the construction of an artificial lake to produce electric energy.,"('engineer', 'plans', 'electric  energy')"
61,"According to his first plan, a unique wide canal collects water coming from a valley and convey it into the lake.","('wide  canal', 'collects', 'lake')"
62,"The total labor cost for the construction of such canal is $17,66+","('total labor cost', 'is', 'such  canal')"
63,"However, the engineer realizes that during the drought periods a unique stream of water may be insufficient to feed the lake.","('unique drought stream', 'realizes', 'lake')"
64,"In order to avoid this mishap, the engineer elaborates a second plan.","('engineer', 'elaborates', 'second  plan')"
65,"According to this plan, the lake is fed by four canals.","('lake', 'fed by', 'four  canals')"
66,These canals are placed around the lake so that they convey water coming from four different belts.,"('they', 'placed around', 'different  belts')"
67,"In this way the lake is fed by water from various valleys, so that also during drought periods it is sufficiently fed.","('also drought it', 'fed by', 'also drought periods')"
68,To implement the second plan 12 laborers have to work 8 hours daily for 23 days.,"('12  laborers', 'implement', '23  days')"
69,Each laborer is paid $8 for each hour of work.,"('laborer', 'paid', '$  work')"
70,"The total labor of the second plan is cheaper, equal or more expansive than the labor of the first plan?","('total  labor', 'is cheaper', 'first  plan')"
71,The Political Science department has an odd mix of faculty.,"('Political Science department', 'has', 'odd  faculty')"
72,About half of the professorshave a strong interest in the role of Socialist and Marxist ideology in world government.,"('About  half', 'interest in', 'Socialist world government')"
73,"The other half of the faculty study the emergence of democratic republics, particularly inThird World nations.","('', 'half of', 'democratic faculty republics')"
74,"Despite these radically different orientations, most of the professorsare quite open minded.","('different  most', 'minded', 'professorsare')"
75,"In fact, the department recently organized a conference at whichboth groups gave talks about their findings.","('department', 'organized', 'whichboth  findings')"
76,"The conference was quite well received, and afavorable story about the meeting appeared in The Washington Post.","('afavorable  story', 'was', 'Washington Post')"
77,Many of the faculty in the Political Science department got their degrees in the 1960s.,"('Many', 'got', 'Political Science 1960s')"
78,This era has clearly left its mark on the faculty.,"('era', 'left', 'clearly  faculty')"
79,"They are vocal proponents of environmentalcauses, and they often encourage their students to speak out on these issues.","('vocal  they', 'are vocal', 'often  issues')"
80,"Because oftheir well known stance as activists, many members of the faculty have been called to testifybefore Congress.","('many  members', 'called to', 'testifybefore  Congress')"
81,Lisa hugs Jenny.,"('', 'Jenny', '')"
82,Mary employs Ali.,"('Mary', 'employs', 'Ali')"
83,Mary sees Ali.,"('Mary', 'sees', 'Ali')"
84,Laura hugs Ruth.,"('', 'Ruth', '')"
85,Laura employs Ruth.,"('Laura', 'employs', 'Ruth')"
86,The Birthday PartyIt was Jane sixth birthday and her mother wanted to make it a very special day for her.,"('it', 'was', 'special  her')"
87,So she organized a big surprise party and invited the neighborhood children without Jane knowing about it.,"('big neighborhood Jane', 'organized', 'it')"
88,The plan was that the mother who usually picked up Jane after school would be late in order to allow the children time to arrive before Jane.,"('children', 'was', 'Jane')"
89,The big day finally arrived.,"('big  day', 'arrived', '')"
90,"Everything was just about ready, and it was fifteen minutes before the children were supposed to come.","('fifteen  children', 'was', '')"
91,Jane mother was putting the final touches on the decorations for the party room.,"('Jane mother', 'putting', 'final party room')"
92,She was covering the walls and ceiling with balloons and party streamers made of crepe paper and ribbons.,"('She', 'covering', 'crepe paper')"
93,Jane mother was finishing up a decoration pattern.,"('Jane mother', 'finishing', 'decoration pattern')"
94,Two final pieces were left that were dangling from the wood paneling above.,"('that', 'left', 'wood paneling')"
95,She had originally planned to knot these two pieces of ribbon together in order to attach balloons to them.,"('She', 'planned', 'together  them')"
96,"However, whenever she grabbed the end of one ribbon, colored blue, she was not able to grasp the other ribbon, colored pink, at the same time.","('colored  she', 'was', 'same  time')"
97,The ribbons simply were not long enough to be knotted together in this way.,"('ribbons', 'were', 'together  way')"
98,It seemed that she would have to abandon her final bit of decoration.,"('she', 'seemed', 'final  decoration')"
99,Jane mother was just about to give up when she had an idea.,"('when  she', 'was', 'idea')"
100,"She took the pair of scissors that she had been using to cut the various ribbons and crepe paper, and attached the scissors to the end of the ribbon.","('she', 'took', 'various crepe ribbon')"
101,"Next, she took hold of the scissors, and pointing them in the direction of the pink ribbon, swung them vigorously so that this blue ribbon now swayed alternately between the pink ribbon and a nearby wall.","('blue  ribbon', 'took', 'pink  ribbon')"
102,She then ran quickly and took the end of the dangling pink ribbon and walked as close to the swinging blue ribbon as possible without letting go of the pink ribbon.,"('She', 'ran', 'pink  ribbon')"
103,She then waited until the swinging blue ribbon came her way and caught it on the upswing.,"('blue  ribbon', 'waited', 'way  upswing')"
104,"While still holding the pink ribbon, she then removed the scissors from the other blue ribbon and knotted the two ribbons together.","('pink  she', 'removed', 'two  ribbons')"
105,"Jane mother just managed to attach all her balloons on these ribbons, completing her decorations, before the children started pouring in.","('just  children', 'managed', 'just  decorations')"
106,Soon Jane arrived and was genuinely surprised.,"('Soon  Jane', 'arrived', '')"
107,"The party was a great success, and all the mothers complemented Jane mother on the decorations.","('great  mothers', 'was', 'Jane decorations')"
108,In a university lab a very expensive lightbulb which would emit precisely controlled quantities of light was being used in some experiments.,"('controlled  quantities', 'used in', 'experiments')"
109,One morning the research assistant responsible for operating the sensitive lightbulb came into the lab and found to her dismay that the lightbulb no longer worked.,"('sensitive  lightbulb', 'came into', 'sensitive  dismay')"
110,"She realized that, she had forgotten to turn it off the previous night.","('she', 'realized', 'previous  night')"
111,"As a result the lightbulb overheated, and the filament inside the bulb had broken into two parts.","('filament', 'overheated', 'two  parts')"
112,"The surrounding glass bulb was completely sealed, so there was no way to open It.","('surrounding glass bulb', 'was', 'so  It')"
113,"The lightbulb could be repaired if a brief, high intensity laser ray could be used to fuse the two parts of the filament into one.","('high intensity laser ray', 'repaired', 'two  one')"
114,Furthermore the lab had the necessary equipment to do the job.,"('Furthermore  lab', 'had', 'necessary  job')"
115,"However, a high intensity laser ray would also break the fragile glass surrounding the filament.","('high intensity laser ray', 'break', 'fragile  filament')"
116,"At lower intensity the laser ray would not break the glass, but neither would it fuse the filament.","('it', 'break', 'filament')"
117,So it seemed that the lightbulb could not be repaired.,"('lightbulb', 'seemed', '')"
118,How could you solve this situation?,"('How  you', 'solve', 'situation')"
119,Zerdia True Analogy:,"('', 'Analogy', '')"
120,Once there was a small country called Zardia that learned to make the world smartest computer.,"('world', 'was', 'computer')"
121,"One day Zardia was attacked by its warlike neighbor, Gagrach.","('day  Zardia', 'attacked by', 'warlike neighbor')"
122,But the missiles were badly aimed and the attack failed.,"('badly  attack', 'aimed', '')"
123,The Zardian government realized that Gagrach wanted Zardian computers so it offered to sell some of its computers to the country.,"('so  it', 'realized', 'country')"
124,The government of Gagrach was very pleased.,"('government', 'was', 'Gagrach')"
125,It promised never to attack Zardia again.,"('It', 'promised', 'Zardia')"
126,Once upon a time there lived a magical genie.,"('', 'lived', 'magical  genie')"
127,"He was a very old, wise, and rich genie indeed.","('He', 'was', '')"
128,"One day while he was polishing his home, which was actually a bottle, he decided he would like to find an even bigger and better home to live in.","('he', 'decided', 'bigger  home')"
129,So he began searching far and wide for another bottle.,"('So  he', 'began', 'far  bottle')"
130,Finally he found the perfect home.,"('Finally  he', 'found', 'perfect  home')"
131,"It was larger, prettier, and not too far away from his old bottle.","('It', 'was larger', 'old  bottle')"
132,The genie was very excited and began moving his belongings right away.,"('genie', 'was', 'very  belongings')"
133,But now the genie had a problem.,"('now  genie', 'had', 'problem')"
134,He had a great many beautiful and very precious jewels in his old home.,"('He', 'had', 'old  home')"
135,He had to somehow get all the jewels from his old bottle to the new bottle without dropping or losing a single jewel.,"('He', 'had', 'single  jewel')"
136,"After thinking a bit, the genie came up with a wonderful idea.","('bit  genie', 'came', 'wonderful  idea')"
137,He searched for his magic carpet.,"('He', 'searched for', 'magic  carpet')"
138,Then he commanded it to roll itself up into a long hollow tube.,"('Then  he', 'commanded', 'hollow  tube')"
139,Next the genie commanded his flying carpet to place one end at his old home and the other end at his new home so that it formed a sort of hollow bridge between the two bottles.,"('new  it', 'commanded', 'two  bottles')"
140,"Then, the genie very carefully took one jewel from inside his old home and placed it into the opening of his carpet.","('Then  genie', 'took', 'old  carpet')"
141,"At once, the jewel began tumbling and rolling through the carpet tube until it reached his new home and plopped safely inside.","('carpet it', 'began', 'new  home')"
142,The genie grinned happily and began rolling all his jewels through the carpet into his new home.,"('genie', 'grinned', 'new  home')"
143,"In fact, I'm sure you can still find him sitting in his new, bigger and better bottle with all his jewels and smiling contentedly even today!","('still  him', ""'m sure"", 'bigger  jewels')"
144,"A water pumping station in the hills above Peshawar has recently been adapted to feed a nuclear power facility, where the water acts as a coolant.","('where power water', 'adapted', 'coolant')"
145,Unfortunately the main pipe that leads from the water pumping station to the nuclear facility cannot stand the increased pressure and will eventually rupture.,"('that', 'stand', 'increased  pressure')"
146,The nuclear power facility must have a continuous supply at a certain volume or it will overheat and go into meltdown.,"('certain  it', 'have', 'meltdown')"
147,Experts have found that it is impossible to build a single large pipe to carry the water with the materials available that will not also rupture due to the high pressure of the water flowing through it.,"('available  that', 'found', 'high  it')"
148,The suggestion is: to build a number of pipes that have less water pressure.,"('that', 'is', 'less water pressure')"
149,"The biology department at Fallsburg teaches many of the pre medical courses for thestudents, and also prides itself on maintaining an active research program.","('biology department', 'teaches many', 'active research program')"
150,"Over the lastfew years, a number of the older faculty have taken advantage of an early retirement programoffered by the state, and, three younger faculty were lured to another school withoffers of higher salaries.","('younger  faculty', 'taken', 'higher school salaries')"
151,These departures have left the Biology department with fewer facultythan they would like to have.,"('fewer Biology they', 'left', 'fewer Biology facultythan')"
152,"Because there are fewer faculty than are needed in thisdepartment, it has been difficult for them to carry out all of the administrative work thatneeds to be done.","('them', 'been difficult', 'administrative work thatneeds')"
153,There are not enough faculty to organize meetings for faculty businessand to advise majors in biology.,"('', 'are', 'enough faculty biology')"
154,The undergraduate students have consistently rated the faculty in this department as thebest teachers on campus.,"('undergraduate  students', 'rated', 'consistently thebest campus')"
155,Their reputation as fine teachers has spread throughout the campusso that almost every student wants to take at least one Biology course during their studies.,"('every  student', 'spread throughout', 'one Biology studies')"
156,This popularity has caused most of the Biology courses to be oversubscribed.,"('most', 'caused most', 'Biology courses')"
157,Studentsmust often wait over a year to get into the course of their choice.,"('Studentsmust', 'wait over', 'often  choice')"
158,"Two weak nations, Lincoln and Moreland, bordered each other .","('weak  nations', 'bordered', 'other')"
159,Both countries reliedheavily on the tourist trade to keep their economies afloat .,"('', 'countries', 'reliedheavily tourist economies')"
160,They competed with each otherover which one of them would get the most tourists .,"('one', 'competed with', 'most  tourists')"
161,"Meanwhile, another nearby nation,Chad, had a very strong economy with a thriving tourist trade .","('nearby  nation', 'had', 'thriving tourist trade')"
162,Tourist cruises flocked intoits harbors and planes full of visitors were constantly landing in its airport .,"('Tourist cruises', 'landing in', 'constantly  airport')"
163,"Because of this,Moreland tried to join forces with Chad in its new advertising campaign to entice still moretourists .","('Moreland', 'tried', 'still advertising moretourists')"
164,Unfortunately a hurricane hit the coast and bankrupted all three nations.,"('Unfortunately  hurricane', 'hit', 'three  nations')"
165,"Broken Light bulb problem insufficient intensity Laser In a physics lab at a major university, a very expensive light bulb which would emit precisely controlled quantities of light was being used in some experiments.","('controlled  quantities', 'intensity', 'experiments')"
166,Ruth was the research assistant responsible for operating the sensitive light bulb.,"('Ruth', 'was', 'sensitive light bulb')"
167,One morning she came into the lab and found to her dismay that the light bulb no longer worked.,"('light  bulb', 'came into', 'dismay')"
168,She realized that she had forgotten to tum it off the previous night.,"('she', 'realized', 'previous  night')"
169,"As a result the light bulb overheated, and the filament inside the bulb had broken into two parts.","('filament', 'overheated', 'two  parts')"
170,"The surrounding glass bulb was completely sealed, so there was no way to open it.","('surrounding glass bulb', 'was', 'so  it')"
171,"Ruth knew that the light bulb could be repaired if a brief, high intensity laser beam could be used to fuse the two parts of the filament into one.","('high intensity laser beam', 'knew', 'two  one')"
172,"Furthermore, the lab had the necessary equipment to do the job.","('Furthermore  lab', 'had', 'necessary  job')"
173,"However, the lasers only generated low intensity beams that were not strong enough to fuse the filament.","('low intensity that', 'generated low', 'enough  filament')"
174,She needed a much more intense laser beam.,"('She', 'needed', 'intense laser beam')"
175,"So it seemed that the light bulb could not be repaired, and a costly replacement would be required.","('costly  replacement', 'seemed', '')"
176,Ruth was about to give up when she had an idea.,"('when  she', 'was about', 'idea')"
177,"She placed several lasers in a circle around the light bulb, and administered low intensity laser beams from several directions all at once.","('She', 'placed several', 'several intensity laser directions')"
178,"The beams all converged on the filament, where their combined effect was enough to fuse it.","('combined  effect', 'converged on', 'it')"
179,"Ruth was greatly relieved that the light bulb was repaired, and she then went on to successfully complete the experiment.","('she', 'relieved', 'successfully  experiment')"
180,Once upon a time there lived a magical genie.,"('', 'lived', 'magical  genie')"
181,"He was a very old, wise, and rich genie indeed.","('He', 'was', '')"
182,"One day while he was polishing his home, which was actually a bottle, he decided he would like to find an even bigger and better home to live in.","('he', 'decided', 'bigger  home')"
183,So he began searching far and wide for another bottle.,"('So  he', 'began', 'far  bottle')"
184,Finally he found the perfect home.,"('Finally  he', 'found', 'perfect  home')"
185,"It was larger, prettier, and not too far away from his old bottle.","('It', 'was larger', 'old  bottle')"
186,The genie was very excited and began moving his belongings right away.,"('genie', 'was', 'very  belongings')"
187,But now the genie had a problem.,"('now  genie', 'had', 'problem')"
188,He had a great many beautiful and very precious jewels in his old home.,"('He', 'had', 'old  home')"
189,He had to somehow get all the jewels from his old bottle to the new bottle without dropping or losing a single jewel.,"('He', 'had', 'single  jewel')"
190,"After thinking a bit, the genie came up with a wonderful idea.","('bit  genie', 'came', 'wonderful  idea')"
191,"He began searching for his magic staff, or wand.","('He', 'began', 'magic  staff')"
192,He then commanded his staff to stretch itself from his old home to his new home.,"('He', 'commanded', 'new  home')"
193,"Next, the genie tugged and pulled on his magical staff until at last he pulled the new bottle right up next to his old bottle.","('at  he', 'tugged', 'old  bottle')"
194,"At once, the genie began gathering his jewels together in his old home and simply dropped them carefully into his new home right next to him.","('once  genie', 'began', 'next  him')"
195,"When all his jewels were safely tucked away in his new home, the genie settled in happily.","('new  genie', 'settled in', 'new  home')"
196,"In fact, I'm sure you can still find him sitting in his new, bigger, and better bottle with all his jewels and smiling contentedly even today!","('still  him', ""'m sure"", 'bigger  jewels')"
197,The computer science department at Gordmont is widely acknowledged to be one of thefinest groups of its kind in the world.,"('computer science department', 'acknowledged', 'thefinest  world')"
198,"Over the last five years, the department has beenranked number one among computer science departments in terms of the number of publicationsby the faculty.","('five  department', 'beenranked', 'one computer science number')"
199,This success has allowed the members of the faculty to secure anumber of large contracts that provide funds for the professors to carry out their research.,"('professors', 'allowed', 'research')"
200,"Unfortunately, the research reputation of this department is only outdone by the personalreputations of the individual faculty.","('Unfortunately research reputation', 'outdone by', 'individual  faculty')"
201,Almost all of the professors are known to be difficultto get along with.,"('difficultto', 'known', 'professors')"
202,"Indeed, the individual members of the department seem to have little orno respect for each other.","('individual  members', 'seem', 'little orno other')"
203,Red Adair,"('', 'Adair', '')"
204,An oil well in Saudi Arabia exploded and caught fire.,"('oil well', 'exploded', 'Saudi fire')"
205,The result was a blazing inferno that consumed an enormous quantity of oil each day.,"('blazing  that', 'was', 'enormous  oil')"
206,"After initial efforts to extinguish it failed, famed firefighter Red Adair was called in.","('firefighter Red Adair', 'failed', 'initial  efforts')"
207,Red knew that the fire could be put out if a huge amount of fire retardant foam could be dumped on the base of the well.,"('huge  amount', 'knew', 'fire retardant well')"
208,There was enough foam available at the site to do the job.,"('', 'was enough', 'available  job')"
209,"However, there was no hose large enough to put all the foam on the fire fast enough.","('', 'was', 'enough  fire')"
210,The small hoses that were available could not shoot the foam quickly enough to do any good.,"('that', 'shoot', 'enough  good')"
211,It looked like there would have to be a costly delay before a serious attempt could be made.,"('serious  attempt', 'looked', '')"
212,"However, Red Adair knew just what to do.","('However Red Adair', 'knew', 'just  what')"
213,"He stationed men in a circle all around the fire, with all of the available small hoses.","('He', 'stationed', 'small  hoses')"
214,When everyone was ready all of the hoses were opened up and foam was directed at the fire from all directions.,"('foam', 'opened', 'directions')"
215,In this way a huge amount of foam quickly struck the source of the fire.,"('huge  amount', 'struck', 'quickly  fire')"
216,"The blaze was extinguished, and the Saudis were satisfied that Red had earned his three million dollar fee.","('Red', 'extinguished', 'three million dollar fee')"
217,"Fused Light bulb fragile glass UltrasoundIn a physics lab at a major university, a very expensive light bulb which would emit precisely controlled quantities of light was being used in some experiments.","('controlled  quantities', 'used in', 'experiments')"
218,Ruth was the research assistant responsible for operating the sensitive light bulb.,"('Ruth', 'was', 'sensitive light bulb')"
219,One morning she came into the lab and found to her dismay that the light bulb no longer worked.,"('light  bulb', 'came into', 'dismay')"
220,She realized that she had forgotten to tum it off the previous night.,"('she', 'realized', 'previous  night')"
221,"As a result the light bulb overheated, and two wires in the filament inside the bulb fused together.","('two  wires', 'overheated', 'bulb')"
222,"The surrounding glass bulb was completely sealed, so there was no way to open it.","('surrounding glass bulb', 'was', 'so  it')"
223,"Ruth knew that the light bulb could be repaired if a brief, high intensity ultrasound wave could be used to jar apart the fused parts.","('high intensity ultrasound wave', 'knew', 'fused  parts')"
224,"Furthermore, the lab had the necessary equipment to do the job.","('Furthermore  lab', 'had', 'necessary  job')"
225,"However, a high intensity ultrasound wave would also break the fragile glass surrounding the filament.","('high intensity ultrasound wave', 'break', 'fragile  filament')"
226,"At lower intensities the ultrasound wave would not break the glass, but neither would it jar apart the fused parts.","('it', 'break', 'fused  parts')"
227,"So it seemed that the light bulb could not be repaired, and a costly replacement would be required.","('costly  replacement', 'seemed', '')"
228,Ruth was about to give up when she had an idea.,"('when  she', 'was about', 'idea')"
229,"She placed several ultrasound machines in a circle around the light bulb, and administered low intensity ultrasound waves from several directions all at once.","('She', 'placed several', 'several intensity ultrasound directions')"
230,"The waves all converged on the filament, where their combined effect was enough to jar apart the fused parts.","('combined  effect', 'converged on', 'fused  parts')"
231,"Since each spot on the surrounding glass received only a low intensity wave from one ultrasound machine, the glass was left intact.","('one ultrasound glass', 'left intact', 'one ultrasound machine')"
232,"Ruth was greatly relieved that the light bulb was repaired, and she then went on to successfully complete the experiment.","('she', 'relieved', 'successfully  experiment')"
233,"The Videogame Sales CaseVortex, Inc., a small video arcade software firm, had a promising new line of special forces videogames.","('Sales CaseVortex Sales Inc.', 'had', 'special forces videogames')"
234,"Keppel and Co., a major manufacturer of video arcade equipment in Europe, was working with Vortex to produce the hardware needed for the special forces games.","('Keppel', 'working with', 'special forces games')"
235,They were negotiating over how to share revenues from their joint product.,"('They', 'negotiating over', 'joint  product')"
236,The deal was mostly going Vortex wanted to broaden the market for its products and Keppel needed a boost in sales to meet their shareholders expectations for the year.,"('mostly  Vortex', 'going', 'shareholders year')"
237,"However, the two companies were struggling with how to split sales revenues.","('two  companies', 'struggling with', 'how sales revenues')"
238,Keppel was demanding a high percentage from sales to finance the added expense of a custom made action control for Vortex games.,"('Keppel', 'demanding', 'added Vortex games')"
239,"Further, Keppel knew that it had the greatest resources to get Vortex special forces games on the market.","('it', 'knew', 'special forces market')"
240,"On the other hand, Vortex was also demanding a high percentage from sales on the grounds that what was being sold was their games, they had the patent on the new action control, and Keppel was simply one of several available manufacturers.","('new action Keppel', 'had', 'available  manufacturers')"
241,Having negotiations at a standstill was bad for both companies because Keppel needed to increase their sales by the end of the year and Vortex needed to get their products out while they were still state of the art.,"('they', 'was bad', 'still  art')"
242,The breakthrough came when negotiators from Keppel and Vortex began discussing the differing needs of their companies.,"('when  negotiators', 'came', 'differing  companies')"
243,The negotiation teams reached the following agreement: Vortex would give up some of its share of revenue for the remainder of the year to cover Keppel production costs and to aid their current financial situation.,"('following  Vortex', 'give', 'financial Keppel production situation')"
244,"In return, Keppel would give up a comparable share of revenue in future fiscal years for these products, and Vortex still maintained their patent on the new control device.","('fiscal  Vortex', 'give', 'new control device')"
245,Carl wasn't working at the time.,"('Carl', 'working at', 'time')"
246,He was very concerned because he had very little left in his bank account.,"('very  he', 'was', 'little bank account')"
247,Several days later he had lunch with the president about becoming a broker.,"('later  he', 'had', 'president')"
248,Carl thought he had impressed people when he gave his resume to the investment firm.,"('when  he', 'thought', 'investment firm')"
249,"Carl went to the department store and tried on some suits, and got a few.","('Carl', 'went to', 'department few')"
250,He felt that he was moving up again.,"('he', 'felt', '')"
251,The GeneralA small country was ruled from a strong fortress by a dictator.,"('small  country', 'ruled from', 'strong  dictator')"
252,"The fortress was situated in the middle of the country, surrounded by farms and villages.","('fortress', 'situated in', 'farms')"
253,Many roads led to the fortress through the countryside.,"('Many  roads', 'led to', 'countryside')"
254,A rebel general vowed to capture the fortress.,"('rebel general', 'vowed', 'fortress')"
255,The general knew that an attack by his entire army would capture the fortress.,"('attack', 'knew', 'entire  fortress')"
256,"He gathered his army at the head of one of the roads, ready to launch a full scale direct attack.","('He', 'gathered', 'direct  attack')"
257,"However, the general then learned that the dictator had planted mines on each of the roads.","('then  dictator', 'learned', 'roads')"
258,"The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.","('safely  dictator', 'set', 'fortress')"
259,"However, any large force would detonate the mines.","('large  force', 'detonate', 'mines')"
260,"Not only would this blow up the road, but it would also destroy many neighboring villages.","('it', 'blow', 'neighboring  villages')"
261,It therefore seemed impossible to capture the fortress.,"('It', 'seemed impossible', 'therefore  fortress')"
262,"However, the general devised a simple plan.","('However  general', 'devised', 'simple  plan')"
263,He divided his army into small groups and dispatched each group to the head of a different road.,"('He', 'divided', 'different  road')"
264,When all was ready he gave the signal and each group marched down a different road.,"('group', 'was ready', 'different  road')"
265,Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.,"('entire  army', 'continued down', 'same  time')"
266,"In this way, the general captured the fortress and overthrew the dictator.","('general', 'captured', 'dictator')"
